景点名称,历史文化属性 (分),摄影/打卡属性 (分),休闲自然属性 (分),纬度 (Latitude),经度 (Longitude),海拔高度 (米),
妈阁庙,5,5,2,22.1861086,113.5312671,5,2041
大三巴牌坊,5,5,1,22.1974569,113.5408602,25,20563
议事亭前地,4,5,1,22.1938271,113.5399903,6,1707
玫瑰圣母堂,5,4,2,22.1948416,113.5403642,7,1354
圣老楞佐堂及前地,4,4,2,22.19075,113.536806,25,332
圣若瑟修院大楼及圣堂,5,3,2,22.191611,113.537306,28,137
岗顶剧院,4,4,3,22.1919122,113.5382056,31,237
何东图书馆,4,3,4,22.1925045,113.5376601,23,234
圣奥斯定教堂,4,3,2,22.1922745,113.5383753,34,122
市政署大楼,5,4,2,22.1932678,113.5395836,6,863
仁慈堂大楼,5,3,2,22.1937321,113.5401596,6,141
卢家大屋,5,3,2,22.1942397,113.5412348,7,390
郑家大屋,5,4,2,22.1885873,113.5344127,12,490
哪咤庙,4,3,2,22.1977089,113.5406668,30,363
旧城墙遗址,5,4,2,22.1976268,113.5405347,30,38
大炮台,4,4,3,22.1970679,113.5422432,43,3033
海事及水务局大楼,4,3,1,22.1866202,113.5323677,23,6
亚婆井前地,3,4,3,22.1883703,113.535195,26,197
澳门主教座堂,5,4,2,22.19348,113.5415425,22,239
恋爱巷,2,5,3,22.1971608,113.5404425,26,1217
疯堂斜巷,3,5,3,22.1978237,113.5437742,34,463
福隆新街,2,4,1,22.1943149,113.5376145,12,217
关前老街,3,4,2,22.1969,113.5393,6,87
渔人码头,1,5,3,22.191453,113.556608,4,5034
东望洋灯塔,4,5,5,22.1964359,113.5497062,90,967
衣湾斜巷,3,5,3,22.1854903,113.5346246,23,37
葡京酒店,1,4,1,22.1898232,113.5440662,3,5191
婆仔屋,3,3,2,22.197824,113.543774,25,67
圣奥斯定堂石阶,4,4,3,22.1925,113.5381,23,122
加思栏花园,2,3,4,22.1924877,113.5446413,11,241
十月初五街,2,3,2,22.1979225,113.5377672,5,560
南湾湖畔,2,4,5,22.1852,113.5383,7,64
白鸽巢公园,3,3,5,22.200755,113.5392153,31,162
二龙喉公园,2,2,5,22.200111,113.5514268,26,343
东望洋山,3,4,5,22.1981451,113.5516371,68,89
雅文湖,1,3,5,22.1895879,113.5387111,10,64
